GR_VR,gr_vr_translated,age_at_sale,mileage,SALES_RES,registration_date,sales_date
201,SKODA|SKODA SCOUT DIESEL|DIESEL,58.62,179832,28.4%,01Mar2013,22Jan2018
201,SKODA|SKODA SCOUT DIESEL|DIESEL,51.61,132932,35.9%,01Nov2012,22Feb2017
201,SKODA|SKODA SCOUT DIESEL|DIESEL,55.87,197228,24.7%,01Mar2013,30Oct2017
201,SKODA|SKODA SCOUT DIESEL|DIESEL,61.34,191822,29.9%,01Feb2012,17Mar2017
201,SKODA|SKODA SCOUT DIESEL|DIESEL,64.03,96656,39.0%,01Mar2012,06Jul2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,72.49,168512,25.9%,01Dec2011,20Dec2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,72.49,189392,24.0%,01Dec2011,20Dec2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,62.39,226508,26.7%,01Sep2012,17Nov2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,65.38,205557,23.8%,01Oct2011,17Mar2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,57.64,126338,36.1%,01May2012,22Feb2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,58.85,145124,35.4%,01May2012,31Mar2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,70.52,106617,28.3%,30Jan2012,20Dec2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,71.48,208370,20.0%,01Jun2012,21May2018
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,57.34,120150,30.2%,01Mar2013,14Dec2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,69.31,180744,25.5%,01Mar2012,14Dec2017
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,69.02,95504,32.4%,01Apr2012,05Jan2018
203,SKODA|SKODA OCTAVIA DIESEL|DIESEL,66.07,142294,28.9%,14Jun2012,20Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,42.36,37591,41.0%,01Jun2014,14Dec2017
209,SKODA|SKODA FABIA DIESEL|DIESEL,41.18,33975,38.2%,01Jun2014,08Nov2017
